ewma_01,ewma_005,ewma_001,price,buy_signal,price_diff,timestamp
3962.215,3963.3675,3964.2895,3941.47,0,-0.008948438019317662,1620691320
3939.8869999999997,3940.6785,3941.3117,3925.64,0,-0.004952058772582319,1620691380
3924.958,3925.299,3925.5717999999997,3918.82,0,-0.003220357148325349,1620691440
3918.58,3918.7,3918.7960000000003,3916.42,0,-0.0067025497776030145,1620691500
3917.5860000000002,3917.0029999999997,3916.5366,3928.08,0,-0.009651025437363764,1620691560
3928.621,3928.3505,3928.1340999999998,3933.49,0,-0.014971437578333713,1620691620
3934.584,3934.037,3933.5994,3944.43,0,-0.01770344511120743,1620691680
3944.8160000000003,3944.6229999999996,3944.4685999999997,3948.29,0,-0.01866377596377167,1620691740
3948.407,3948.3484999999996,3948.3017,3949.46,0,-0.024732495075276074,1620691800
3949.6580000000004,3949.559,3949.4798,3951.44,0,-0.025221185188184524,1620691860
3950.514,3950.977,3951.3474,3942.18,0,-0.025397115301685844,1620691920
3940.593,3941.3864999999996,3942.0213,3926.31,0,-0.021457806439124778,1620691980
3926.759,3926.5344999999998,3926.3549,3930.8,0,-0.02257555713849604,1620692040
3929.9950000000003,3930.3975,3930.7195,3922.75,0,-0.012947549550697842,1620692100
3922.1279999999997,3922.439,3922.6878,3916.53,0,-0.011379971556454352,1620692160
3918.6770000000006,3917.6035,3916.7447,3938,0,-0.014459116302691736,1620692220
3937.7300000000005,3937.865,3937.973,3935.3,0,-0.013782939038955158,1620692280
3935.8160000000007,3935.558,3935.3516,3940.46,0,-0.015074382178730425,1620692340
3942.4120000000003,3941.4359999999997,3940.6552,3959.98,0,-0.020315759170500814,1620692400
3960.526,3960.2529999999997,3960.0346,3965.44,0,-0.021664682859909582,1620692460
3965.704,3965.5719999999997,3965.4664000000002,3968.08,0,-0.02231557831495326,1620692520
3968.863,3968.4715,3968.1583,3975.91,0,-0.021278147644187093,1620692580
3977.119,3976.5144999999998,3976.0308999999997,3988,0,-0.02424523570712138,1620692640
3987.5470000000005,3987.7735,3987.9547,3983.47,0,-0.02313560789964525,1620692700
3985.428,3984.4489999999996,3983.6657999999998,4003.05,0,-0.03310475762231298,1620692760
4004.7210000000005,4003.8855,4003.2171000000003,4019.76,0,-0.037124106911855435,1620692820
4018.699,4019.2295,4019.6539000000002,4009.15,0,-0.035149595300749556,1620692880
4009.545,4009.3475000000003,4009.1895,4013.1,0,-0.03609927487478505,1620692940
4014.087,4013.5935,4013.1987,4022.97,0,-0.03846411979209385,1620693000
4022.96,4022.9649999999997,4022.969,4022.87,0,-0.03419449298635053,1620693060
4021.8,4022.3349999999996,4022.763,4012.17,0,-0.031618799801603654,1620693120
4010.657,4011.4134999999997,4012.0187,3997.04,0,-0.020149910934091218,1620693180
3996.5310000000004,3996.7854999999995,3996.9891,3991.95,0,-0.018900537331379356,1620693240
3991.913,3991.9314999999997,3991.9463,3991.58,0,-0.018809594195782105,1620693300
3990.763,3991.1715,3991.4982999999997,3983.41,0,-0.01867997519713006,1620693360
3983.111,3983.2605,3983.3801,3980.42,0,-0.0179428301536019,1620693420
3979.701,3980.0605,3980.3481,3973.23,0,-0.015476073622720113,1620693480
3973.5480000000002,3973.3889999999997,3973.2617999999998,3976.41,0,-0.01626341348100424,1620693540
3976.908,3976.6589999999997,3976.4598,3981.39,0,-0.017493890324735858,1620693600
3979.778,3980.584,3981.2288,3965.27,0,-0.017169070454218737,1620693660
3964.54,3964.9049999999997,3965.1969999999997,3957.97,0,-0.015356356920340415,1620693720
3959.06,3958.5149999999994,3958.0789999999997,3968.87,0,-0.01806055627924317,1620693780
3968.085,3968.4774999999995,3968.7915,3961.02,0,-0.014667939066200097,1620693840
3959.119,3960.0694999999996,3960.8298999999997,3942.01,0,-0.009916260993757028,1620693900
3940.9100000000003,3941.46,3941.9000000000005,3931.01,0,-0.007145746258595156,1620693960
3930.98,3930.995,3931.007,3930.71,0,-0.006199897728400185,1620694020
3930.534,3930.6220000000003,3930.6924,3928.95,0,-0.005754718181702407,1620694080
3929.624,3929.287,3929.0174,3935.69,0,-0.0050181797855013985,1620694140
3934.2830000000004,3934.9865,3935.5492999999997,3921.62,0,-0.001448381026208515,1620694200
3920.898,3921.259,3921.5478,3914.4,0,0.0003934191702431953,1620694260
3915.955,3915.1775,3914.5555,3929.95,0,-0.0032315932772681126,1620694320
3929.148,3929.549,3929.8698,3921.93,0,-0.001193290038322927,1620694380
3920.036,3920.9829999999997,3921.7405999999996,3902.99,0,-0.0007660793391732446,1620694440
3902.778,3902.884,3902.9687999999996,3900.87,0,-0.0002230271708618567,1620694500
3900.291,3900.5804999999996,3900.8121,3895.08,0,0.0012631319510767616,1620694560
3893.376,3894.2279999999996,3894.9096,3878.04,0,0.007650772039483882,1620694620
3878.6079999999997,3878.324,3878.0968,3883.72,0,0.006177067347800624,1620694680
3881.7690000000002,3882.7445,3883.5249,3864.21,0,0.012261238390253146,1620694740
3866.849,3865.5295,3864.4739,3890.6,0,0.005395054747339803,1620694800
3890.681,3890.6404999999995,3890.6081,3891.41,0,0.0051857809894100835,1620694860
3891.9809999999998,3891.6955,3891.4671,3897.12,0,-0.0051833148581516145,1620694920
3898.028,3897.5739999999996,3897.2108,3906.2,0,-0.007495775945932043,1620694980
3905.438,3905.819,3906.1238,3898.58,0,-0.005555869060016687,1620695040
3897.7390000000005,3898.1594999999998,3898.4959,3890.17,0,-0.0012595850566942037,1620695100
3888.561,3889.3655,3890.0091,3874.08,0,0.0028884277041258967,1620695160
